strom;guildy;pocet;cas;treatment
K6;listozravi clenovci;2;zacatek;kontrola
K6;mizu sajici clenovci;1;zacatek;kontrola
K6;ostatni;0;zacatek;kontrola
K7;predatori;2;zacatek;kontrola
K7;listozravi clenovci;1;zacatek;kontrola
K7;mizu sajici clenovci;0;zacatek;kontrola
K7;ostatni;1;zacatek;kontrola
K8;predatori;0;zacatek;kontrola
K8;listozravi clenovci;1;zacatek;kontrola
K8;mizu sajici clenovci;1;zacatek;kontrola
K8;ostatni;1;zacatek;kontrola
K9;predatori;2;zacatek;kontrola
K9;listozravi clenovci;5;zacatek;kontrola
K9;mizu sajici clenovci;1;zacatek;kontrola
K9;ostatni;3;zacatek;kontrola
K10;predatori;4;zacatek;kontrola
K10;listozravi clenovci;2;zacatek;kontrola
K10;mizu sajici clenovci;0;zacatek;kontrola
K10;ostatni;0;zacatek;kontrola
K11;predatori;2;zacatek;kontrola
K11;listozravi clenovci;4;zacatek;kontrola
K11;mizu sajici clenovci;1;zacatek;kontrola
K11;ostatni;3;zacatek;kontrola
K12;predatori;1;zacatek;kontrola
K12;listozravi clenovci;0;zacatek;kontrola
K12;mizu sajici clenovci;1;zacatek;kontrola
K12;ostatni;3;zacatek;kontrola
K13;predatori;3;zacatek;kontrola
K13;listozravi clenovci;0;zacatek;kontrola
K13;mizu sajici clenovci;4;zacatek;kontrola
K13;ostatni;0;zacatek;kontrola
K14;predatori;3;zacatek;kontrola
K14;listozravi clenovci;6;zacatek;kontrola
K14;mizu sajici clenovci;0;zacatek;kontrola
K14;ostatni;0;zacatek;kontrola
K15;predatori;3;zacatek;kontrola
K15;listozravi clenovci;1;zacatek;kontrola
K15;mizu sajici clenovci;0;zacatek;kontrola
K15;ostatni;2;zacatek;kontrola
K1;predatori;3;konec;kontrola
K1;listozravi clenovci;0;konec;kontrola
K1;mizu sajici clenovci;2;konec;kontrola
K1;ostatni;0;konec;kontrola
K2;predatori;5;konec;kontrola
K2;listozravi clenovci;3;konec;kontrola
K2;mizu sajici clenovci;1;konec;kontrola
K2;ostatni;0;konec;kontrola
K3;predatori;1;konec;kontrola
K3;listozravi clenovci;0;konec;kontrola
K3;mizu sajici clenovci;2;konec;kontrola
K3;ostatni;0;konec;kontrola
K4;predatori;6;konec;kontrola
K4;listozravi clenovci;1;konec;kontrola
K4;mizu sajici clenovci;4;konec;kontrola
K4;ostatni;0;konec;kontrola
K5;predatori;2;konec;kontrola
K5;listozravi clenovci;2;konec;kontrola
K5;mizu sajici clenovci;0;konec;kontrola
K5;ostatni;1;konec;kontrola
K6;predatori;0;konec;kontrola
K6;listozravi clenovci;0;konec;kontrola
K6;mizu sajici clenovci;2;konec;kontrola
K6;ostatni;0;konec;kontrola
K7;predatori;3;konec;kontrola
K7;listozravi clenovci;0;konec;kontrola
K7;mizu sajici clenovci;1;konec;kontrola
K7;ostatni;0;konec;kontrola
K8;predatori;0;konec;kontrola
K8;listozravi clenovci;0;konec;kontrola
K8;mizu sajici clenovci;3;konec;kontrola
K8;ostatni;5;konec;kontrola
K9;predatori;2;konec;kontrola
K9;listozravi clenovci;2;konec;kontrola
K9;mizu sajici clenovci;3;konec;kontrola
K9;ostatni;0;konec;kontrola
K10;predatori;8;konec;kontrola
K10;listozravi clenovci;2;konec;kontrola
K10;mizu sajici clenovci;5;konec;kontrola
K10;ostatni;0;konec;kontrola
K11;predatori;6;konec;kontrola
K11;listozravi clenovci;8;konec;kontrola
K11;mizu sajici clenovci;3;konec;kontrola
K11;ostatni;2;konec;kontrola
K12;predatori;6;konec;kontrola
K12;listozravi clenovci;2;konec;kontrola
